#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
100,WILLY HERNANGOMEZ,FCB,33,16.3,8.0,3.1,5.5,0.56,0.0,0.1,0.0,1.8,3.1,0.598,1.7,3.5,5.2,0.8,0.4,0.3,1.0,1.4,27,0.584,0.56,115.8,13.8,26.1,20.2,8.5,12.7,1.3,2.2,22.5,-2.6,1.5,117.8,111.3,6.5,227.3,19.3,537.5,C,18,2,0,0,0,0,0,0,17,0,0.121,0.8,0.4,0.6,19,14,0.576,1.0,0.9,1.9,BARCA
101,GABRIEL DECK,RMB,19,22.5,8.0,2.8,6.0,0.474,0.7,2.1,0.325,1.6,2.2,0.738,0.7,2.9,3.6,0.9,0.4,0.2,0.7,1.5,161,0.574,0.531,153.7,4.5,13.9,9.7,6.7,8.9,0.9,0.9,16.1,-0.2,1.3,119.4,109.7,9.6,107.5,12.5,428.1,F,166,0,0,0,0,0,0,0,24,0,0.125,1.4,0.5,0.4,15,4,0.789,0.6,0.8,1.4,REAL MADRID
102,KARLIS SILINS,LBC,13,15.0,8.0,2.3,4.5,0.517,0.8,1.9,0.4,2.6,3.5,0.756,0.7,1.8,2.5,0.4,0.3,0.3,0.8,2.8,85,0.668,0.603,167.3,5.7,14.8,10.2,4.1,12.4,1.1,2.6,20.6,-3.8,1.8,124.1,130.8,-6.7,53.9,15.7,194.9,C,210,0,0,0,0,0,0,0,18,0,0.087,0.5,0.4,0.8,2,11,0.154,0.5,-0.2,0.3,CB CORUNA
103,A.J. SLAUGHTER,ZAR,32,18.2,7.9,3.0,7.6,0.391,1.6,4.6,0.345,0.4,0.5,0.813,0.3,0.9,1.2,1.5,0.3,0.0,0.9,1.3,208,0.508,0.496,154.8,1.9,6.4,4.1,12.9,10.7,1.0,0.0,21.5,0.2,1.0,106.9,123.1,-16.2,104.0,9.5,581.1,G,242,0,0,0,0,0,0,0,18,0,0.139,1.6,0.4,0.1,12,20,0.375,0.1,0.0,0.2,CASADEMONT ZARAGOZA
104,JONAH RADEBAUGH,MUR,34,21.6,7.9,2.7,7.6,0.351,1.1,4.1,0.262,1.4,2.0,0.71,0.5,2.3,2.8,2.1,1.6,0.2,1.0,2.5,176,0.463,0.423,132.4,2.9,13.2,7.9,16.1,10.2,3.9,0.9,20.4,1.9,1.0,100.1,104.4,-4.3,177.9,11.9,734.3,G,130,0,0,0,0,0,2,0,24,0,0.162,2.1,1.6,0.3,17,17,0.5,-0.5,1.9,1.4,CB GIRONA
105,VLADIMIR BRODZIANSKY,MUR,17,21.0,7.8,2.5,5.3,0.467,0.9,2.6,0.333,2.0,2.7,0.739,0.9,2.3,3.2,0.6,0.6,0.3,0.9,2.1,152,0.603,0.55,153.9,5.0,14.2,9.4,5.3,12.0,1.5,1.5,16.4,-2.1,1.5,115.4,110.2,5.2,85.5,12.8,357.6,PF,49,0,0,0,0,0,0,0,15,0,0.11,0.7,0.7,0.5,8,9,0.471,0.4,0.6,1.0,CB GIRONA
106,NICOLAS LAPROVITTOLA,FCB,4,20.3,7.8,2.8,6.3,0.44,1.3,3.3,0.385,1.0,1.5,0.667,0.5,1.8,2.3,5.3,0.3,0.0,2.0,2.0,118,0.561,0.54,149.1,3.9,10.4,7.6,39.8,22.4,0.7,0.0,21.0,7.3,1.2,113.2,113.7,-0.5,27.3,14.2,81.2,PG,195,0,0,0,0,0,0,0,22,0,0.254,2.6,0.1,0.2,3,1,0.75,0.2,0.0,0.2,BARCA
107,JAIME FERNANDEZ,TEN,19,15.6,7.7,2.7,6.7,0.398,0.8,3.2,0.267,1.5,1.8,0.829,0.2,1.3,1.5,2.5,0.9,0.0,0.6,2.0,50,0.513,0.461,149.4,2.0,11.2,6.8,26.4,7.1,3.4,0.0,26.1,7.2,1.1,115.9,114.9,1.0,95.6,17.6,296.3,PG,238,0,0,0,0,0,0,0,22,0,0.167,4.3,1.6,0.3,15,4,0.789,0.5,0.4,0.9,LENOVO TENERIFE
107,JAIME FERNANDEZ,TEN,19,15.6,7.7,2.7,6.7,0.398,0.8,3.2,0.267,1.5,1.8,0.829,0.2,1.3,1.5,2.5,0.9,0.0,0.6,2.0,50,0.513,0.461,149.4,2.0,11.2,6.8,26.4,7.1,3.4,0.0,26.1,7.2,1.1,115.9,114.9,1.0,95.6,17.6,296.3,C,238,0,0,0,0,0,0,0,22,0,0.167,4.3,1.6,0.3,15,4,0.789,0.5,0.4,0.9,LENOVO TENERIFE
108,EDO MURIC,FOR,30,18.2,7.7,2.6,6.5,0.4,1.5,4.4,0.338,1.0,1.5,0.705,0.9,1.9,2.8,0.5,0.6,0.2,0.7,2.3,184,0.541,0.515,144.3,5.9,13.0,9.3,4.6,8.5,1.8,1.1,19.5,-1.9,1.2,109.0,114.2,-5.3,121.8,11.7,546.9,F,71,0,0,0,0,0,0,0,23,0,0.108,0.7,1.0,0.2,11,19,0.367,0.2,0.7,0.9,RIO BREOGAN
