#_prom,Player,Team_prom,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,Team,#,Team_misc,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
21,ALONSO MEANA,ZOR,24,28.9,13.4,4.1,9.7,0.422,1.5,4.1,0.354,3.8,4.8,0.789,0.7,2.3,3.0,5.2,1.0,0.0,3.0,2.8,63,ZOR,0.569,0.498,156.5,0.03,0.094,0.062,0.34600000000000003,0.20600000000000002,0.019,0.2,0.247,1.5,1.4,109.1,110.7,-1.6,205.8,18.2,694.0,PG,ZOR,310,ZOR,0,0,0,0,0,1,0,28,0,0.35,1.7,0.3,0.5,9,15,0.375,2.0,0.1,2.0,ZORNOTZA
22,ANTHONY LIBROIA,BEN,23,26.9,13.2,5.0,12.6,0.401,0.9,3.7,0.235,2.3,3.2,0.712,0.2,2.1,2.3,4.9,1.0,0.0,3.1,2.7,190,BEN,0.473,0.436,134.9,0.8,0.08800000000000001,0.05,0.33299999999999996,0.183,0.02,0.0,0.301,0.5,1.1,94.2,111.2,-17.1,134.1,13.6,619.0,G,BEN,60,BEN,1,0,0,0,0,0,0,25,0,0.335,1.6,0.3,0.3,10,13,0.435,-0.1,0.0,-0.1,BENICARLO
23,IERAI AIZPITARTE,ISB,28,33.5,13.1,4.5,12.5,0.363,2.3,7.4,0.303,1.8,2.6,0.708,0.7,3.5,4.3,3.8,1.0,0.0,2.9,2.4,208,ISB,0.482,0.453,137.4,0.026000000000000002,0.124,0.077,0.221,0.17300000000000001,0.016,0.0,0.23800000000000002,-0.9,1.1,97.3,107.6,-10.3,193.3,12.7,937.0,PG,ISB,345,ISB,0,0,0,0,0,0,0,29,0,0.319,1.3,0.3,0.2,13,15,0.464,0.4,0.6,0.9,IRAURGI
24,DIEGO DE BLAS,ALB,21,29.4,13.0,3.8,9.2,0.415,2.0,5.6,0.359,3.4,4.7,0.735,1.2,5.0,6.2,1.0,1.6,0.7,1.4,2.2,27,ALB,0.58,0.523,150.8,0.049,0.193,0.124,0.07200000000000001,0.113,0.03,0.023,0.21600000000000003,-2.6,1.4,110.9,94.6,16.2,210.8,20.0,617.0,F,ALB,33,ALB,2,0,0,0,0,1,0,35,0,0.198,0.7,1.1,0.5,9,12,0.429,1.6,1.5,3.1,ALBACETE
25,BRIAN VAZQUEZ ARRAIZA,PAE,25,23.0,13.0,4.4,11.1,0.394,2.2,6.5,0.34,2.1,2.4,0.867,0.5,1.6,2.1,1.2,1.2,0.0,1.7,2.6,96,PAE,0.536,0.493,160.0,0.024,0.083,0.053,0.109,0.124,0.027999999999999997,0.0,0.271,-3.9,1.2,107.2,99.2,8.0,121.5,16.6,574.0,G,PAE,163,PAE,0,0,0,0,0,0,0,28,0,0.205,0.7,0.7,0.2,16,9,0.64,1.3,1.1,2.4,PALMA
26,NIL BRIA,PCBS,11,24.7,13.0,4.5,12.2,0.373,3.1,8.3,0.374,0.8,1.3,0.643,0.6,1.9,2.5,1.4,0.8,0.2,1.4,1.5,145,PCBS,0.51,0.5,139.0,0.028999999999999998,0.083,0.057,0.10300000000000001,0.09699999999999999,0.017,0.7,0.26,-1.8,1.1,100.2,111.1,-10.9,62.5,15.0,272.0,SF,PCBS,179,PCBS,0,0,0,0,0,0,0,18,0,0.199,1.0,0.6,0.1,4,7,0.364,0.3,0.0,0.3,Santfeliuenc
27,JOSEP PEREZ,NRFL,21,26.0,13.0,4.6,11.6,0.393,2.0,6.1,0.32,1.9,2.7,0.714,1.0,2.6,3.5,3.7,1.6,0.0,1.5,1.8,22,NRFL,0.508,0.477,142.8,0.037000000000000005,0.107,0.07,0.273,0.10300000000000001,0.034,0.0,0.24600000000000002,3.7,1.1,111.7,95.3,16.5,191.0,20.3,546.0,PG,NRFL,255,NRFL,0,0,0,0,0,0,0,21,0,0.298,2.5,1.1,0.2,14,7,0.667,1.7,1.3,3.0,
28,MATTHEW HERASME,ISB,12,25.1,12.8,4.8,10.1,0.471,1.7,3.7,0.455,1.6,2.1,0.76,0.8,1.8,2.6,1.2,1.5,0.1,2.0,2.3,60,ISB,0.58,0.554,168.6,0.039,0.086,0.063,0.09300000000000001,0.154,0.033,0.4,0.24600000000000002,-5.0,1.3,109.1,100.6,8.4,73.9,18.4,301.0,SG,ISB,251,ISB,0,0,0,0,0,1,0,17,0,0.215,0.6,0.8,0.2,9,3,0.75,0.8,0.5,1.2,IRAURGI
29,GREG GANTT,IBIZA,32,25.5,12.7,4.6,9.2,0.497,2.1,4.6,0.466,1.4,1.5,0.958,0.6,1.1,1.7,0.9,0.5,0.0,0.8,2.1,64,IBIZA,0.644,0.612,192.1,0.027000000000000003,0.052000000000000005,0.039,0.062,0.079,0.011000000000000001,0.0,0.2,-1.0,1.4,128.3,108.4,19.9,196.8,18.2,817.0,G,IBIZA,198,IBIZA,0,0,0,0,0,0,0,27,0,0.186,1.0,0.6,0.2,24,8,0.75,3.7,0.4,4.1,IBIZA
30,CALEB FIELDS,KRC,14,26.8,12.6,4.2,11.6,0.364,1.9,6.4,0.289,2.3,2.9,0.8,0.6,2.9,3.6,1.7,1.3,0.1,1.4,1.4,117,KRC,0.49,0.444,145.3,0.027999999999999997,0.128,0.078,0.12300000000000001,0.1,0.026000000000000002,0.6,0.25,-1.1,1.1,100.4,106.9,-6.5,93.8,15.6,375.0,G,KRC,229,KRC,0,0,0,0,0,0,0,19,0,0.217,1.2,0.9,0.2,7,7,0.5,0.4,0.3,0.6,CLAVIJO
31,ADRIA ARAGONES,CBS,17,27.9,12.3,4.8,10.8,0.446,1.5,5.5,0.269,1.2,1.8,0.645,1.5,4.2,5.6,2.1,2.6,0.2,2.0,2.5,47,CBS,0.529,0.514,136.0,0.06,0.183,0.12,0.136,0.147,0.049,0.9,0.22,-2.2,1.1,103.6,98.1,5.5,165.6,18.9,474.0,F,CBS,35,CBS,2,0,0,0,0,2,0,23,0,0.239,1.0,1.3,0.2,9,8,0.529,0.7,1.0,1.6,Oca Global - Cbsaloua
32,OWEN LONG,PAE,4,25.5,12.3,4.3,11.0,0.386,2.0,6.5,0.308,1.8,2.3,0.778,1.0,2.0,3.0,1.8,0.5,0.0,0.5,2.8,97,PAE,0.511,0.477,147.2,0.040999999999999995,0.09699999999999999,0.067,0.133,0.04,1.0,0.0,0.212,2.5,1.1,121.3,101.6,19.7,24.1,16.5,102.0,G,PAE,117,PAE,0,0,0,0,0,0,0,16,0,0.22,3.5,1.0,0.2,2,2,0.5,0.4,0.1,0.5,PALMA
33,KEVON GODWIN,ISB,24,26.5,12.2,4.1,10.0,0.414,2.0,5.4,0.377,1.9,2.3,0.836,0.5,1.7,2.2,2.5,0.9,0.0,2.3,2.5,130,ISB,0.557,0.517,162.8,0.022000000000000002,0.076,0.049,0.19399999999999998,0.175,0.019,0.0,0.244,-2.6,1.2,105.3,108.4,-3.1,131.4,15.4,635.0,G,ISB,137,ISB,0,0,0,0,0,0,0,22,0,0.257,1.1,0.4,0.2,11,13,0.458,1.2,0.3,1.5,IRAURGI
34,KYLE GREELEY,CDL,21,22.9,12.1,4.3,9.6,0.45,1.2,3.5,0.338,2.2,3.1,0.723,1.0,2.0,3.0,0.7,0.4,0.0,0.5,1.6,57,CDL,0.551,0.512,151.1,0.051,0.094,0.073,0.057999999999999996,0.046,0.9,0.2,0.231,-0.3,1.3,118.6,105.6,13.1,127.1,18.5,480.0,G,CDL,153,CDL,0,0,0,0,0,0,0,21,0,0.179,1.3,0.7,0.3,13,8,0.619,1.8,0.4,2.2,CULTURAL Y DEPORTIVA LEONESA
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,215.0,SG,CCC,213,CCC,0,0,0,0,0,0,0,18,0,0.248,0.7,0.5,0.2,5,6,0.455,0.3,0.3,0.6,CORDOBA
